Feature,Target,Profile,Trace,Command
default,x86_64-unknown-linux-gnu,dev,basic,cargo build --target x86_64-unknown-linux-gnu --features default
default,x86_64-unknown-linux-gnu,dev,strace,cargo build --target x86_64-unknown-linux-gnu --features default
default,x86_64-unknown-linux-gnu,dev,perf,cargo build --target x86_64-unknown-linux-gnu --features default
default,x86_64-unknown-linux-gnu,dev,coverage,cargo build --target x86_64-unknown-linux-gnu --features default
default,x86_64-unknown-linux-gnu,release,basic,cargo build --target x86_64-unknown-linux-gnu --features default --release
default,x86_64-unknown-linux-gnu,release,strace,cargo build --target x86_64-unknown-linux-gnu --features default --release
default,x86_64-unknown-linux-gnu,release,perf,cargo build --target x86_64-unknown-linux-gnu --features default --release
default,x86_64-unknown-linux-gnu,release,coverage,cargo build --target x86_64-unknown-linux-gnu --features default --release
default,aarch64-unknown-linux-gnu,dev,basic,cargo build --target aarch64-unknown-linux-gnu --features default
default,aarch64-unknown-linux-gnu,dev,strace,cargo build --target aarch64-unknown-linux-gnu --features default
default,aarch64-unknown-linux-gnu,dev,perf,cargo build --target aarch64-unknown-linux-gnu --features default
default,aarch64-unknown-linux-gnu,dev,coverage,cargo build --target aarch64-unknown-linux-gnu --features default
default,aarch64-unknown-linux-gnu,release,basic,cargo build --target aarch64-unknown-linux-gnu --features default --release
default,aarch64-unknown-linux-gnu,release,strace,cargo build --target aarch64-unknown-linux-gnu --features default --release
default,aarch64-unknown-linux-gnu,release,perf,cargo build --target aarch64-unknown-linux-gnu --features default --release
default,aarch64-unknown-linux-gnu,release,coverage,cargo build --target aarch64-unknown-linux-gnu --features default --release
all-plugins,x86_64-unknown-linux-gnu,dev,basic,cargo build --target x86_64-unknown-linux-gnu --features all-plugins
all-plugins,x86_64-unknown-linux-gnu,dev,strace,cargo build --target x86_64-unknown-linux-gnu --features all-plugins
all-plugins,x86_64-unknown-linux-gnu,dev,perf,cargo build --target x86_64-unknown-linux-gnu --features all-plugins
all-plugins,x86_64-unknown-linux-gnu,dev,coverage,cargo build --target x86_64-unknown-linux-gnu --features all-plugins
all-plugins,x86_64-unknown-linux-gnu,release,basic,cargo build --target x86_64-unknown-linux-gnu --features all-plugins --release
all-plugins,x86_64-unknown-linux-gnu,release,strace,cargo build --target x86_64-unknown-linux-gnu --features all-plugins --release
all-plugins,x86_64-unknown-linux-gnu,release,perf,cargo build --target x86_64-unknown-linux-gnu --features all-plugins --release
all-plugins,x86_64-unknown-linux-gnu,release,coverage,cargo build --target x86_64-unknown-linux-gnu --features all-plugins --release
all-plugins,aarch64-unknown-linux-gnu,dev,basic,cargo build --target aarch64-unknown-linux-gnu --features all-plugins
all-plugins,aarch64-unknown-linux-gnu,dev,strace,cargo build --target aarch64-unknown-linux-gnu --features all-plugins
all-plugins,aarch64-unknown-linux-gnu,dev,perf,cargo build --target aarch64-unknown-linux-gnu --features all-plugins
